code,district_code,name,type
1103012032,110301,Kuala Idi Cut,village
1103012034,110301,Seuneubok Aceh,village
1103012035,110301,Gampong Baro,village
1103012036,110301,Bagok Panah Sa,village
1103012037,110301,Bagok Panah Dua,village
1103012038,110301,Bagok Panah Lhee,village
1103012039,110301,Bagok Panah Peut,village
1103012040,110301,Buket Tualang,village
1103012041,110301,Keumuneng Sa,village
1103012042,110301,Keumuneng Dua,village
1103012043,110301,Keumuneng Lhee,village
1103012044,110301,Keumuneng Peut,village
1103012045,110301,Keumuneng Limong,village
1103012046,110301,Meunasah Blang,village
1103022001,110302,Blang Keumahang,village
1103022002,110302,Blang Jambee,village
1103022003,110302,Keumuneng,village
1103022004,110302,Ladang Baro,village
1103022005,110302,Buket Panyang,village
1103022006,110302,Seuneubok Rambong,village
1103022007,110302,Seuneubok Baro,village
1103022008,110302,Blang Mideun,village
1103022009,110302,Paya Bakong,village
1103022010,110302,Teupin Raya,village
1103022011,110302,Lhok Rambong,village
1103022012,110302,Julok Tunong,village
1103022013,110302,Ulee Ateung,village
1103022014,110302,Ulee Blang,village
1103022015,110302,Labuhan,village
1103022016,110302,Naleung,village
1103022017,110302,Mane Rampak,village
1103022018,110302,Matang,village
1103022019,110302,Blang Uyok,village
1103022020,110302,Blang Pauh Sa,village
1103022021,110302,Blang Pauh Dua,village
1103022022,110302,Ulee Tanoh,village
1103022023,110302,Keude Kuta Binjei,village
1103022024,110302,Bukit Seroja,village
1103022025,110302,Kuala Geulumpang,village
1103022026,110302,Gampong Baro,village
1103022027,110302,Tumpok Teungoh,village
1103022028,110302,Seumatang,village
1103022029,110302,Ujong Tunong,village
1103022030,110302,Bukit Dindeng,village
1103022031,110302,Paya Pasi,village
1103022032,110302,Alue Cek Doi,village
1103022033,110302,Blang Gleum,village
1103022034,110302,Tanjong Tok Blang,village
1103022035,110302,Buket Makmu,village
1103022036,110302,Lhok Seuntang,village
1103022037,110302,Simpang Lhee,village
1103032001,110303,Gampong Jawa,village
1103032002,110303,Keude Blang,village
1103032003,110303,Tanoh Anoe,village
1103032004,110303,Kuala Peudawa Puntong,village
1103032005,110303,Gampong Aceh,village
1103032006,110303,Kuta Blang,village
1103032007,110303,Gampong Tanjong,village
1103032008,110303,Blang Geulumpang,village
1103032009,110303,Meunasah Pu'uk,village
1103032010,110303,Bantayan Timu,village
